video_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,category_id_1,category_id_2,category_id_3
2kyS6SvSYSE,0,1,1,1,1,1,1,1,0,1,0
1ZAPwfrtAFY,0,1,1,1,1,1,1,1,0,1,0
5qpjK5DgCt4,0,1,1,1,1,1,1,1,0,1,0
puqaWrEC7tY,0,0,0,1,1,1,1,1,0,1,0
d380meD0W0M,0,1,1,1,1,1,1,1,0,1,0
gHZ1Qz0KiKM,0,0,0,0,0,1,1,1,0,0,1
39idVpFF7NQ,0,1,0,1,1,1,1,1,0,1,0
nc99ccSXST0,0,1,1,1,1,1,1,1,0,0,1
jr9QtXwC9vc,0,1,0,0,0,1,1,1,1,0,0
TUmyygCMMGA,0,0,0,1,1,1,1,1,0,1,0
9wRQljFNDW8,0,0,0,0,0,1,1,1,0,1,0
VifQlJit6A0,0,0,0,0,0,1,1,1,0,1,0
5E4ZBSInqUU,0,1,1,1,1,1,1,1,1,0,0
GgVmn66oK_A,0,0,0,1,1,1,1,1,0,1,0
TaTleo4cOs8,0,0,0,0,1,1,1,1,1,0,0
kgaO45SyaO4,0,0,0,0,0,1,1,1,0,0,1
ZAQs-ctOqXQ,0,0,0,1,0,1,1,1,0,1,0
YVfyYrEmzgM,0,0,0,0,0,1,1,1,0,0,1
eNSN6qet1kE,0,0,0,0,1,1,1,1,0,0,1
B5HORANmzHw,0,0,0,0,0,1,1,1,0,0,1
vU14JY3x81A,0,0,0,0,1,1,1,1,0,0,1
6VhU_T463sU,0,0,0,0,0,1,1,1,0,0,1
_-aDHxoblr4,0,0,0,0,0,1,1,1,0,0,1
JBZTZZAcFTw,0,0,0,0,0,1,1,1,0,0,1
lZ68j2J_GOM,0,0,0,0,0,1,1,1,0,1,0
dRpNZV18N_g,0,0,0,0,0,1,1,1,0,1,0
fcVjitaM3LY,0,0,0,0,0,1,1,1,0,0,1
qeWvgZLz9yU,0,0,0,0,0,1,1,1,0,0,1
iIxy3JN3-jc,0,0,0,0,0,1,1,1,0,1,0
n30k5CwLhS4,1,0,0,0,0,1,1,1,1,0,0
U0hAC8O7RoI,0,0,0,0,0,1,1,1,1,0,0
CBVGjS_EJok,0,0,0,0,0,0,1,1,0,1,0
n1WpP7iowLc,0,1,1,1,1,1,1,1,1,0,0
hz7ukDjuq4w,0,0,0,0,0,1,1,1,0,1,0
p2hJxyF7mok,0,0,0,0,0,1,1,1,0,1,0
0mlNzVSJrT0,0,0,0,0,0,1,1,1,0,1,0
Om_zGhJLZ5U,0,0,0,1,1,1,1,1,1,0,0
e_7zHm7GsYc,0,0,0,0,0,1,1,1,1,0,0
dQvIbulWCM4,0,0,1,1,1,1,1,1,0,1,0
zZ9FciUx6gs,0,0,0,0,0,1,1,1,1,0,0
PaJCFHXcWmM,0,0,0,0,0,1,1,1,1,0,0
goP4Z5wyOlM,0,0,0,0,0,1,1,1,0,1,0
NZFhMSgbKKM,0,0,0,0,0,1,1,1,0,1,0
0tO_l_Ed5Rs,0,0,0,1,1,1,1,1,1,0,0
STI2fI7sKMo,0,0,0,1,0,1,1,1,0,1,0
BWPrk9PUwQE,0,1,1,1,1,1,1,1,0,0,1
ogYum4kWXgk,0,0,0,0,0,1,1,1,0,1,0
sbcbvuitiTc,0,1,0,1,0,1,1,1,0,1,0
zNqCVTs38nU,0,0,0,0,0,1,1,1,0,1,0
DM-ni_LSOFE,0,1,1,1,1,1,1,1,0,1,0
0PpNlNJ6Nng,0,1,1,1,1,1,1,1,0,1,0
c-3JxzN2u34,0,0,0,0,0,1,1,1,0,1,0
069D0NmW39o,0,1,0,1,0,1,1,1,0,1,0
9t9u_yPEidY,0,1,1,1,1,1,1,1,1,0,0
KODzih-pYlU,0,0,0,0,0,1,1,1,0,1,0
8NHA23f7LvU,0,1,0,0,0,1,1,1,0,1,0
w0XYVssCKjw,0,0,0,0,0,1,1,1,0,1,0
9XSULcLI6Hg,0,0,0,0,0,1,1,1,0,1,0
pjuPpVLXDQg,0,0,0,0,0,1,1,1,1,0,0
9xSx-5tmq44,0,0,0,0,0,1,1,1,0,1,0
4v0nOAzcG2A,0,0,0,0,0,1,1,1,0,0,1
oTObwUiXdYY,0,0,0,0,0,1,1,1,0,1,0
1cgK-BIrXes,0,1,1,1,1,1,1,1,0,1,0
ujyTQNNjjDU,0,1,1,1,1,1,1,1,1,0,0
PABlVzeldaM,0,0,0,0,0,1,1,1,0,1,0
6340tX9M_eM,0,0,0,0,0,1,1,1,0,1,0
8mhTWqWlQzU,0,1,1,1,1,1,1,1,0,1,0
t4YAyT4ihIQ,0,1,1,1,1,1,1,1,0,1,0
MNiweoKXwfg,0,0,0,0,0,1,1,1,0,1,0
Jw1Y-zhQURU,0,1,1,1,1,1,1,1,0,0,1
2Vv-BfVoq4g,0,1,1,1,1,1,1,1,1,0,0
UFYCTJlayS4,0,0,0,0,0,1,1,1,1,0,0
cccyOn99s4Y,0,0,0,0,0,1,1,1,0,1,0
abGCYPCk294,0,0,0,0,0,1,1,1,0,1,0
lY_0mkYDZDU,0,0,1,0,0,1,1,1,1,0,0
k8NxqyGcZA4,0,0,0,1,1,1,1,1,0,1,0
IE-xepGLVt8,0,0,0,0,0,1,1,1,0,0,1
ObIQ0s02UHg,0,1,1,1,0,1,1,1,1,0,0
cOc3tsFWoRs,0,1,0,0,0,1,1,1,0,1,0
AJYb0Yom5UQ,0,0,0,0,0,1,1,1,0,1,0
gLswXiRLdkA,0,0,1,1,1,1,1,1,0,0,1
MyEqfBkzESU,0,0,0,1,1,1,1,1,0,0,1
wJYE0sFOteE,0,0,0,0,0,1,1,1,0,0,1
L_5_slz4ke4,0,0,0,0,0,1,1,1,0,1,0
OKoL852K9uA,0,0,0,0,0,1,1,1,0,0,1
pa_oUisZZy0,0,0,0,0,0,1,1,1,0,1,0
fNtLIcyjsnI,0,1,0,1,0,1,1,1,1,0,0
_Iz83-Cmt6A,0,0,0,0,0,1,1,1,1,0,0
YlvCVbfS9M0,0,1,1,0,1,1,1,1,1,0,0
arJ5h2TY3I4,0,1,1,1,1,1,1,1,0,1,0
-2RVw2_QyxQ,0,0,0,0,0,1,1,1,0,0,1
gEHCXl4J9Qo,0,1,1,1,1,1,1,1,0,1,0
-OK9i1_YYYc,0,0,0,0,0,1,1,1,1,0,0
b4vTZx_AtHk,0,1,1,1,1,1,1,1,0,0,1
kOnQocd799Y,0,1,1,1,1,1,1,1,1,0,0
e4FApt6z55c,0,0,0,0,0,1,1,1,1,0,0
2XK4omx9uMU,0,1,1,0,0,1,1,1,1,0,0
xfmipNU4Odc,0,0,0,0,0,1,1,1,1,0,0
jp9hK-jY6yY,0,1,1,1,1,1,1,1,0,1,0
RkHuWjiR-LM,0,0,0,0,0,1,1,1,1,0,0
fCTKDn3Q8xQ,0,1,1,1,1,1,1,1,0,1,0
DIU3xPdhCBI,0,1,1,1,0,1,1,1,1,0,0
wnwF1FHybDQ,0,0,0,0,0,1,1,1,0,1,0
9oFP-pOMNwE,0,0,0,1,0,0,1,1,0,1,0
pz95u3UVpaM,0,1,1,1,1,1,1,1,1,0,0
g5c1bk8weaQ,0,1,1,1,1,1,1,1,0,1,0
yuBqWcSKrCk,0,0,0,0,0,1,1,1,0,1,0
x9mh-SwSKas,0,0,0,0,0,1,1,1,0,0,1
uiA4B5Y63IQ,0,0,0,0,0,1,1,1,1,0,0
viyRD5z6ilQ,0,0,0,0,0,1,1,1,1,0,0
QFfEtKvXMAs,0,0,1,0,1,1,1,1,1,0,0
xg9ebVTL9yE,0,0,0,0,0,1,1,1,1,0,0
fbHbTBP_u7U,0,1,1,1,1,1,1,1,1,0,0
Ja_GMU7-sjs,0,1,1,1,1,1,1,1,0,0,1
QOksZ8VogRw,0,0,1,0,0,1,1,1,1,0,0
RYs08kX3Ih4,0,0,0,0,0,1,1,1,0,0,1
tOFkFZbPdnQ,0,0,0,0,0,1,1,1,1,0,0
dW4wpGg64pE,0,1,1,0,0,1,1,1,0,1,0
2VP846QcA_4,0,0,0,0,0,1,1,1,0,1,0
_dhneCO4YEE,0,0,0,1,0,1,1,1,0,1,0
EYkEshCOhEU,0,0,0,0,0,1,1,1,0,1,0
Rq9-mW6HgQE,0,1,0,0,0,1,1,1,0,1,0
k29YnfttqEU,0,1,0,0,0,1,1,1,0,1,0
Eg_kW5fw6qU,0,0,0,0,1,1,1,1,0,1,0
J_QGZspO4gg,0,1,1,1,1,1,1,1,1,0,0
PkRBTF6nt4E,0,0,0,0,0,1,1,1,0,1,0
ozkqm2ifMw8,0,0,0,0,0,1,1,1,1,0,0
htvR_dBs3eg,0,0,0,0,0,1,1,1,1,0,0
qEEtzzi1EII,0,0,1,0,0,1,1,1,1,0,0
1Wk8ZRgXQnY,0,0,0,0,0,1,1,1,1,0,0
8l_e6bx8UG8,0,1,1,1,1,1,1,1,1,0,0
lsfzA7sWlOM,0,0,0,0,0,1,1,1,0,1,0
RQDphL2MVlM,0,0,0,0,0,1,1,1,0,0,1
X7flefV8tec,0,0,0,1,1,1,1,1,0,1,0
cYw-oyJ7AEY,0,0,0,0,0,1,1,1,1,0,0
6nJw-jPQYVI,1,0,0,0,0,1,1,1,0,1,0
5x1FAiIq_pQ,0,0,0,0,0,1,1,1,1,0,0
LMCuKltaY3M,0,0,0,0,0,1,1,1,1,0,0
6Detw08jRhs,0,0,0,0,0,1,1,1,0,1,0
vd4zwINEcLY,1,0,0,0,0,1,1,1,0,1,0
7fm7mll2qvg,0,0,0,0,0,1,1,1,1,0,0
5gFpcEKayz4,0,1,1,0,0,1,1,1,1,0,0
eHIY3HNNqzM,0,0,0,0,0,1,1,1,1,0,0
q-WipZ9p0wk,0,0,0,0,0,1,1,1,0,0,1
zy0b9e40tK8,0,0,0,0,0,1,1,1,0,1,0
rL4WkebTT_U,0,0,0,0,0,1,1,1,0,1,0
Y6eKxjMA9ek,0,0,0,0,0,1,1,1,0,1,0
Q6Usd3_fbq8,0,0,0,0,0,1,1,1,1,0,0
44NYFvhXmW8,0,1,1,1,1,1,1,1,1,0,0
9wg3v-01yKQ,0,1,1,1,1,1,1,1,1,0,0
F-j_6IuaYfw,0,0,0,1,1,1,1,1,0,1,0
_qSW96a2aKY,0,1,0,1,0,1,1,1,0,1,0
afgvlR9WmIQ,0,1,1,0,0,1,1,1,1,0,0
_CJN_ryETIY,0,0,0,0,0,1,1,1,0,1,0
P4YJwy_T9pM,0,1,1,0,0,1,1,1,0,1,0
YqH4eWR7jDQ,1,0,0,0,0,1,1,1,0,0,1
r96KpNTcog4,0,0,0,0,0,1,1,1,0,1,0
B4gXsobd_ao,0,0,0,0,0,1,1,1,0,0,1
x8eLIJAM58M,0,1,0,1,0,1,1,1,0,1,0
6V_aZsATDsM,0,0,0,0,0,1,1,1,0,0,1
qg0GdM60syI,0,0,0,0,0,1,1,1,0,0,1
8j_BYfVEyhA,0,0,0,1,0,1,1,1,0,1,0
9ymjcSvEyhk,0,0,0,0,0,1,1,1,1,0,0
oB3SAI2oCqk,0,0,0,0,0,1,1,1,1,0,0
HNa_UWX51_s,0,0,0,0,0,1,1,1,1,0,0
08nkwgZIE4I,0,0,1,0,0,1,1,1,1,0,0
5Smb3tZD1Qc,0,0,0,0,0,1,1,1,0,1,0
YHDbsyyjld0,0,0,0,0,0,1,1,1,1,0,0
uyl6WtHEYOQ,0,0,0,0,0,1,1,1,0,1,0
bhoFXkVy8JA,0,0,0,0,0,1,1,1,1,0,0
_w58R1OGQFA,0,0,0,0,0,1,1,1,1,0,0
BEweWXa5Twk,0,0,1,0,0,1,1,1,0,0,1
egXr0PU-kCY,0,1,1,1,1,1,1,1,0,1,0
fIQ2Ty2OL34,0,0,0,0,0,1,1,1,0,1,0
d_j512i2k6c,0,0,0,0,0,1,1,1,0,0,1
4d07RXYLsJE,0,0,0,0,0,1,1,1,0,0,1
DOIw62TXYkg,0,1,0,0,0,1,1,1,0,0,1
0lbJHqAGpbA,0,0,0,0,0,1,1,1,0,1,0
JuP1Z8xpRb8,0,0,0,0,0,1,1,1,0,1,0
CR9zYgr84QY,0,0,0,0,0,1,1,1,0,0,1
